0.000350603 0.50922 0.0125006 0.028865 0.0245338 0.514131 0.00648405 0.513831 0.018751 0.499699 0.0122669 2.24486e-05 2.46224e-07 1.46244e-05 0 
0.000366516 0.518842 3.33333e-08 0.028263 0.0259361 0.514131 -0.006484 0.528263 5e-08 0.514131 0.00648405 2.21888e-05 3.92542e-11 1.52715e-05 0 
0.000350615 0.507994 0.0374719 0.029399 0.0244748 0.513194 0.0317035 0.512292 0.0439409 0.498495 0.0367712 2.20486e-05 7.24084e-07 1.47526e-05 0 
0.00036652 0.518217 0.0254584 0.028865 0.0259051 0.513831 0.018751 0.527627 0.0259206 0.513194 0.0317035 2.1733e-05 3.93108e-07 1.533e-05 0 
0.000350618 0.505543 0.0623528 0.029861 0.0243566 0.51102 0.0568466 0.509518 0.0690249 0.49609 0.0611869 2.17201e-05 1.18686e-06 1.50108e-05 0 
0.000366533 0.516344 0.0508555 0.029399 0.0258114 0.512292 0.0439409 0.52572 0.0517789 0.51102 0.0568466 2.13612e-05 7.70518e-07 1.55068e-05 0 
0.00035061 0.501875 0.0870835 0.03025 0.02418 0.507615 0.0818526 0.505518 0.0939427 0.492491 0.0854552 2.14574e-05 1.6363e-06 1.54037e-05 0 
0.00036653 0.513227 0.07613 0.029861 0.0256555 0.509518 0.0690249 0.522546 0.0775124 0.507615 0.0818526 2.10649e-05 1.13529e-06 1.58042e-05 0 
0.000350604 0.496997 0.111604 0.030567 0.0239448 0.502988 0.106662 0.5003 0.118634 0.487704 0.109518 2.12603e-05 2.07487e-06 1.59399e-05 0 
0.000366519 0.508873 0.101221 0.03025 0.0254379 0.505518 0.0939427 0.518113 0.103059 0.502988 0.106662 2.08413e-05 1.48998e-06 1.62283e-05 0 
0.000350608 0.490922 0.135856 0.030811 0.023652 0.497148 0.131214 0.493876 0.143039 0.481743 0.133316 2.11284e-05 2.50574e-06 1.66309e-05 0 
0.000366519 0.503293 0.126068 0.030567 0.025159 0.5003 0.118634 0.512432 0.128358 0.497148 0.131214 2.06902e-05 1.83663e-06 1.67888e-05 0 
0.000350614 0.483665 0.159781 0.03098 0.023303 0.490111 0.155449 0.486262 0.1671 0.474621 0.156794 2.10599e-05 2.93076e-06 1.74902e-05 0 
0.000366519 0.496501 0.150612 0.030811 0.024819 0.493876 0.143039 0.505516 0.153346 0.490111 0.155449 2.06106e-05 2.17699e-06 1.74968e-05 0 
0.000350606 0.475242 0.183321 0.031074 0.022897 0.481893 0.179311 0.477477 0.19076 0.466356 0.179894 2.10564e-05 3.35269e-06 1.85375e-05 0 
0.000366533 0.488513 0.174793 0.03098 0.024421 0.486262 0.1671 0.497383 0.177966 0.481893 0.179311 2.06011e-05 2.51208e-06 1.83677e-05 0 
0.000350608 0.465675 0.20642 0.031094 0.022797 0.472515 0.20274 0.467542 0.213958 0.456967 0.20256 2.07878e-05 3.71281e-06 1.91746e-05 0 
0.000366516 0.479348 0.198553 0.031074 0.023962 0.477477 0.19076 0.488051 0.202158 0.472515 0.20274 2.06654e-05 2.84553e-06 1.94202e-05 0 
0.000350598 0.454985 0.22902 0.031039 0.023807 0.461997 0.225681 0.45648 0.236642 0.446478 0.224738 1.95762e-05 3.86108e-06 1.80562e-05 0 
0.000366517 0.469028 0.221834 0.031094 0.023807 0.467542 0.213958 0.477544 0.225862 0.461997 0.225681 2.04926e-05 3.12878e-06 2.00579e-05 0 
0.000350624 0.4432 0.251069 0.03091 0.024761 0.450368 0.248078 0.444319 0.258755 0.434913 0.246374 1.85243e-05 3.98131e-06 1.71671e-05 0 
0.000366528 0.457578 0.244581 0.031039 0.024761 0.45648 0.236642 0.465887 0.249022 0.450368 0.248078 1.94315e-05 3.24218e-06 1.89291e-05 0 
0.000350616 0.430346 0.272514 0.030705 0.025654 0.437652 0.269878 0.431088 0.280245 0.4223 0.267418 1.76076e-05 4.07704e-06 1.64594e-05 0 
0.000366533 0.445026 0.266738 0.03091 0.025654 0.444319 0.258755 0.453107 0.271582 0.437652 0.269878 1.85167e-05 3.3333e-06 1.80172e-05 0 
0.000350609 0.416456 0.293302 0.030426 0.026485 0.423883 0.291027 0.416817 0.30106 0.40867 0.287818 1.68108e-05 4.1499e-06 1.59012e-05 0 
0.000366525 0.431402 0.288253 0.030705 0.026485 0.431088 0.280245 0.439235 0.293488 0.423883 0.291027 1.77275e-05 3.40397e-06 1.72825e-05 0 
0.000350609 0.401563 0.313383 0.030075 0.027252 0.409092 0.311476 0.401543 0.321149 0.394054 0.307524 1.61221e-05 4.2035e-06 1.54671e-05 0 
0.000366512 0.416738 0.309074 0.030426 0.027252 0.416817 0.30106 0.424305 0.314686 0.409092 0.311476 1.70513e-05 3.45768e-06 1.6695e-05 0 
0.00035059 0.385702 0.332709 0.02965 0.027954 0.393315 0.331174 0.385301 0.340465 0.378491 0.326488 1.55283e-05 4.23919e-06 1.51365e-05 0 
0.000366521 0.40107 0.32915 0.030075 0.027954 0.401543 0.321149 0.408353 0.335126 0.393315 0.331174 1.64791e-05 3.49519e-06 1.62325e-05 0 
0.00035062 0.368912 0.351234 0.029155 0.02859 0.376592 0.350074 0.368131 0.358961 0.362015 0.344666 1.50264e-05 4.25621e-06 1.48976e-05 0 
0.000366528 0.384437 0.348433 0.02965 0.02859 0.385301 0.340465 0.391417 0.35476 0.376592 0.350074 1.59997e-05 3.51735e-06 1.58757e-05 0 
0.00035062 0.351234 0.368912 0.02859 0.029155 0.358961 0.368131 0.350074 0.376592 0.344666 0.362015 1.46089e-05 4.25621e-06 1.47352e-05 0 
